SN_EOR_FK,GEO_MARKER_NAME,TOP_MD
-116877,F10 Sand,8324.0
-116877,F30 Sand,9145.0
-116877,F40 Sand,9334.0
-123002,F-30 Sand,9145.0
-123002,E-30 Sand,7699.0
-123002,F-10 Sand,8324.0
-123002,F-40 Sand,9334.0
-116123,JD Sand,
-116123,NH Sand,
-116123,OI-1 Sand,
-116123,OI-2 Sand,11002.0
-116088,F Sand,9421.0
-116088,G Ash Sand,10085.0
-116088,H Sand,10418.0
-116088,H2 Sand,10528.0
-116088,I Sand,11121.0
-116088,J Ash Sand,11890.0
-116088,K Sand,13215.0
-116088,L2 Sand,14285.0
-116088,L4 Sand,15345.0
-116088,L5 Sand,16561.0
-116088,M Sand,17832.0
-116088,N0 Sand,18999.0
-116088,N1 Sand,19181.0
-116088,N3 Sand,19302.0
-116088,O Mass Sand,20671.0
-116088,O2 Sand,20757.0
-116088,P1 Sand,
-116088,P2A Sand,21438.0
-116088,P2B Sand,22042.0
-116088,Q Sand,22760.0
-116088,R1 Sand,23470.0
-116088,R2C Sand,23654.0
-116088,S Sand,
-116088,PM4 Sand,24860.0
-116088,PM4.3 Sand,25480.0
-116088,U Sand bearing,25810.0
-116264,JD Sand,
-116264,MG 1/2/3/4 Sand,
-116264,NH/NH2 Sand,
-116264,NI Sand,
-116264,OI-1 Sand,
-116080,S-2 Sand,1904.0
-116080,S-1 Sand,1870.0
-116080,S-3 Sand,1990.0
-116080,2000 Sand,2198.0
-116080,Upper TA,2440.0
-116080,Lower TA,2508.0
-116080,HB-1 Downthrown Sand,3508.0
-116080,HB-1 Upthrown,3020.0
-116622,B-3A,
-116622,B-3B,
-116822,11400' Sand,11886.0
-116116,Tex W 3,12692.0
-118766,MG 1/2/3/4 Sand,
-118766,NH/NH2 Sand,
-118766,NI Sand,
-118766,OI-1 Sand,10745.0
-118766,OI-2 Sand,
-118766,OI-3 Sand,
-118766,OI-4 Sand,11390.0
-118766,JD Sand,
-117107,OI2 Sand,11002.0
-117405,Tex W-6,14716.0
-117028,M9 Upper,
-117028,Base M9 Upper,
-117028,Top of Salt,10368.0
-117028,Base of Salt,21020.0
-117028,M6 SB (13.05 Ma),22391.0
-117028,M7 Mid Top,23170.0
-117028,M7 Mid Base,23331.0
-117028,M8 SB (16.45 Ma),23854.0
-119212,Calabrian,15573.0
-119212,Piacenzian,16088.0
-119212,Tortonian,17717.0
-119212,Tuff,11575.0
-119212,Salt,12296.0
-117419,TA Lower Sand,3150.0
-117419,S-2 Sand,2130.0
-117419,S-1 Sand,1885.0
-117419,S-3 Sand,2390.0
-117419,TA Upper Sand,3030.0
-117238,TA Lower Sand,2530.0
-115141,I5 Sand,
-115141,I8 Sand,
-115064,C-1C Sand,13508.0
-114810,L Sand,12852.0
-192414,L RA Sand,12852.0
-115997,TRIMOSINA A (est. paleo not run),3565.0
-115997,CS-2 SAND,4162.0
-115997,CS-3 SAND,4341.0
-115997,ANGULOGERINA B (est. no paleo run),4485.0
-115997,CS-3A SAND,4545.0
-115997,Tight Silt,4842.0
-115997,LENTICULINA 1(est. no paleo run),5070.0
-115997,TP-6 SAND,5249.0
-115997,TP-6 Base,5303.0
-115997,TP-9 SAND,5407.0
